kingsnows1759	0.8532777,0.39504713
prince_omega	0.8644538,-0.32983103
stevekloscak	-0.13098623,0.6159346
mixedraceakh	0.37528935,-0.2641208
susufitevomo	0.83240944,0.601642
carolynnilsen	0.16731907,0.27864
oswaldojunior	0.28581148,0.33578807
aliyahsmangs	1.2496705,0.15861073
robertore62	0.5062291,0.83230484
janecialanae	0.9769462,-0.26408616
waifucru	0.9075153,-0.46543053
pamnsc	0.5163665,0.6672196
russian_starr	1.0819489,1.0409077
raysizzum	0.3343846,0.85571915
fyrasec	0.7403601,-0.18018407
cerridanae	0.7862095,-0.091917805
rsmccain	1.1757166,0.41657987
shaanthegoat	1.1162032,-1.8710147
sardinepundit	0.010119247,0.64260894
asapyit	0.82208556,0.67696774
americanah_	1.1052763,1.0705649
shmovesmith	0.8532373,0.39715716
hentaigasms	0.8971937,-0.4488026
pointgreenz	-0.28054854,0.17118368
lawlers_law	1.0138873,-0.25948194
chinasogroovey	-0.49468675,1.3603424
themadmoai	1.2506882,-0.09543563
yewkalaylee	0.05280894,0.45836216
redthunk	0.49132845,0.25231862
ryanlovettno1	0.43470386,0.79247576
qalballah	0.5592835,0.2096669
because_im_x	0.5940984,0.8498325
occupybp	0.9947483,0.4215809
newsplanet247	0.8896384,0.564577
1filchfelonious	-0.02580259,0.4845814
metaballo	0.35370716,0.29219472
willambeili	0.6237414,0.25706995
danswright	0.4725101,0.5338243
lionelmedia	0.3744044,0.7098405
chelseakopta	0.8141947,0.6938257
kerridevito	0.86818016,0.6161077
dabw25	0.20336659,0.6603098
jmm3rd	0.08006712,1.2313559
joearm2	0.8484849,0.6932468
umarmusaabba	0.79628193,0.34613693
toongrrl1990	0.92370474,0.22038554
omegaman58	0.12191834,0.8982473
bernadetteil	0.26515982,0.6461494
opferguson	1.1908308,0.54564834
tariqnasheed	1.1806815,1.5405592
leahrboss	0.017864367,0.47815377
lewkanewins	1.2011758,1.585726
mzkiccz	0.39622474,-0.25246903
dontjudgeimfat	1.1478474,-1.8345275
joegooding	0.30021858,0.8615357
dougthemighty58	0.73470926,0.32595083
pennycees	1.2841156,0.39382997
eli_mari78	0.5541679,0.8993617
sheprobahoeif	1.1192111,-1.9185381
cssueta	0.06427238,0.7786191
tondalao25	0.3503863,0.63391834
kalamarri	1.1579463,0.38659427
skoolboiqpls	1.1454359,-1.8534111
hidingfromlrsfc	0.29957092,0.3132566
jack_rayner_iii	1.2506882,-0.09543563
lilrascal01	0.22865221,0.8038793
jeffy1958	0.7242799,0.33327547
dukeinstinct	0.3707127,0.27380484
economicmayhem	0.62265587,0.48392016
svahaseeker	0.30531132,0.3038446
pr0mp0sals	1.1991739,-1.8554449
dansereau18	0.7721696,0.38142785
jpowell55	1.0260288,0.3792336
steveandreya68	0.51553565,0.8432809
82santander	1.2566619,0.16804081
vaughn_rock	0.34989893,0.6202958
thedreamcrusher	0.32545403,0.37961763
con_metal_fan	0.14816819,0.905596
willshar19720	0.021795597,0.51771706
truthspeaker57	0.039991777,0.46309188
mkrizsa50	-0.14045314,0.7147942
untoldmysteries	1.1045939,0.4201027
meatmufin	0.39562842,0.30462998
jsmooth_93	0.87864316,-0.47232667
grindhardluvgod	1.1407989,1.1071969
pssilem	0.61783457,0.22086003
al_kahina	0.4763736,0.46018147
hookemn580	0.028059725,0.5430688
danteorland	1.1404995,1.0736377
poeticflamez	1.357342,-2.3774488
octobermagic87	0.11089796,0.62894654
rjmyers1297	0.8732156,0.58757603
dyman3	-0.26489425,0.11726148
permian	0.29192695,0.32236826
eliloopz	0.9062108,0.6387704
d_shotti	0.8444885,0.5493986
presidentlazy2	-0.11981708,0.65524113
mattie_ice98	0.8389855,0.6571974
joemorganv	0.64757943,0.2479122
niggashe14	1.1361461,-1.8970791
bbybasquiat	0.85895944,0.63827324
djmontrella	0.053447723,0.47203323
oddball193	0.31815046,0.57706416
mkadr	0.5675435,0.8442808
nicolas_rob3rt	-0.27986866,0.13364707
k8withan8	0.31309858,0.4418402
johnggalt	0.61370134,0.25253916
johngaltfla	0.5117365,0.6444439
sabadaga	1.1303898,1.0615152
jagxteller	0.2252451,0.857449
nyrock22	0.54714197,0.8758917
carinainsd	0.5122043,0.90204453
br4wls	0.32397118,1.1681203
xenikenyxol	0.8489346,0.5918665
luis_2455	0.877505,0.66185653
mason52mueller	0.49666902,0.8402717
mark_b_2013	0.9188081,0.48205003
nativeblackgirl	1.2373879,1.6126266
so_icy_shach	0.90415835,0.57984155
spydermb	0.41886482,0.5921514
louniereyes	0.8661631,0.65197515
doomsdaymilfy	0.059825484,0.082378134
azermane	0.27634117,0.34433752
bjjnerd0	0.1866833,0.6357293
nichellemurdock	-0.0637619,-0.34613898
mzvikee	0.33157188,0.31851217
barry_o44	0.2960031,0.98740953
lilbuttsarah	0.8484138,0.69327456
fantagor	1.1038811,0.3039239
isheeple1	0.29221982,1.0061197
youreveryevent	0.79452235,0.36234987
dilly_d_	0.29789686,0.37790468
redsteeze	-0.08255094,0.8430786
smartvalueblog	0.0016107955,0.7350201
cj_lovelace	1.1897755,0.41869077
eemzus	1.115125,0.1205406
ningala17	0.85064065,0.6645619
element_dia	1.1303898,1.0615152
alexis_brown99	-0.5915675,0.72321147
neonxanss	1.0884778,-1.8729862
shaynalamour1	0.3977841,0.3566318
mommags2579	0.076371975,0.7856136
itsmorgaaann	0.86496294,0.57852465
omookwah	0.49902704,0.897712
rastafarianrad	1.1404995,1.0736377
vopebifykew	0.80898404,0.650648
itsmejackyo	0.92565763,-0.6037327
fujamieck	1.0987812,-1.8332399
laxswimmom	-0.12579648,0.4651616
kathie1718	0.060080606,0.76477635
just_a_texan	0.019992214,0.50371283
soylentgs	0.20900992,0.1549398
julioarmasd	0.99943376,0.37647256
rnrillinois	-0.0028705318,0.7539812
bren_crystal	0.83658546,0.6708214
tuvoqikisaj	0.82489544,0.6448966
toxicdelusions	1.1054384,1.1039627
kingtallington2	-0.36306587,0.7818142
bellalolagirl	0.29919192,0.84713405
t_hoee	0.8681782,0.61610794
yahboydooley	1.1334293,-1.8317962
txtrey	0.59375215,0.8071679
terribleatname	1.2567549,0.16778056
twotwo2019	0.81332386,0.3765159
presenceofagod	0.9782936,0.077152155
nppnick1	0.4469279,0.69646263
sachsai	0.88670194,0.2700596
rambam36	-0.002836222,0.7541793
jpyoung27	0.007855797,0.21811761
jimbobbarley	0.015499576,0.97999835
shelbygc	0.2896514,0.8244101
michaelemcneil	0.1507025,-0.08741455
july617	0.65788466,1.1789601
lailaannamaria	1.2777684,0.37906957
andrewthepilot	0.23836994,0.89559776
secafdope	1.1607602,-1.8785602
beaniemoose	0.6867846,1.1735128
bamalemuxuco	0.81749105,0.6094764
rrriiiccceee	0.45450985,0.1990286
drugslowkey	1.0890797,-1.8972646
ismailreiss	0.8538499,0.67929906
iii_asherah	1.1975448,1.6284509
patriciawate	0.83172,0.37633923
matann2012	0.16994944,1.087203
_theking27_	0.9627391,-0.2686672
rednationrising	0.095763594,0.71620667
vixterette	1.0229605,0.44378597
josiahmcelroy	-0.36918458,0.7681485
sleepygirlone	0.5810141,0.47365004
jerseyjoenut	0.2479191,0.9024892
raregoldenvibes	1.3917356,-2.3702898
countenanceblog	0.19562644,0.2700911
fuki_boar81	0.48224723,0.23047748
colinhussey22	0.8575065,0.529752
andrew1stplace	0.77744925,0.35847682
yourunclejay	0.4201279,-0.26092368
psutphin1	0.5878048,0.68407977
silentangel1969	0.47303653,0.1494966
atrzy	0.83680487,0.3929158
alexcarlson96	0.828668,0.69571006
kudzu81	-0.044257563,0.9139444
gopathetic	0.57485133,0.5474309
markoignjatic2	0.56027526,0.2512985
blackjew316	0.015983088,0.5525372
mignonfeldstein	0.036219373,0.8409109
__kingkira	1.4049122,0.00057225866
fapibaxodes	0.7966717,0.6765291
jteedc	0.22626653,0.16725443
riskalert	0.94368696,0.7941594
xosnf	-0.539528,1.3120903
tombx7m	0.23756684,0.6804136
wildpatriot	0.07181455,0.33343628
originalkon	0.8636463,0.5658838
marandbreeden	0.80293304,0.5025974
karenpiscopo1	0.035996832,0.6089605
crookedwren	-0.24911457,0.97144127
dalehurd	-0.056103703,0.71099126
lamont_kerry	0.88405657,0.6750407
gabrazil	0.8286606,0.695705
clellab1	0.6119987,0.27390257
calonsowvu	0.23047628,0.90108037
willakaurhost	0.584481,0.8614086
wwtcorp	0.2976721,0.59901595
curtandnan	0.3374452,0.8657046
hunterewilliam	1.2755543,0.16124713
vdare	0.1712202,0.5686152
sectu	0.77930725,0.058277838
berrypunchkiss	0.25577527,0.38163245
searfoss70	-0.08602773,1.0801783
rothschild17gov	0.43449065,0.46257377
chrisfromabc2	0.120102145,1.1470436
nobody_ebooks	0.90648836,-0.30581212
spidsdddddd	1.1933559,0.5297387
srandallbs2714	0.012823497,1.1666436
bethanymcglyn_	0.46880502,0.58677197
vibedoutsummers	1.1397865,-1.9157883
bndy95	0.032001726,0.5105468
ausarbluhd	1.6065581,0.2519263
lowkeycute	1.1989119,-1.8410151
closetanimelova	1.2423744,1.5693038
johnamcgrann	0.32110617,0.36330888
justwhistle22	0.4815059,0.52525723
clantro	0.15197124,0.83217955
3lunt	1.3849864,-2.3558438
jameshalke	0.50233,0.16732636
snallall	0.36482027,0.28501007
robinson_greg	0.891751,0.56485415
alliedsniper	0.234184,0.5748341
mrjamescove	0.49271768,0.8853109
tari_gt	0.49303114,0.22620256
djamalnasir282	-0.25527707,0.15809204
_illestent	1.3918359,-2.3702261
barbiedmv	-0.0585796,0.7957649
guydasworld	0.53571934,0.21083991
econgregation	0.10458856,0.7464634
moealin	1.2336589,0.17451291
johnrobertfinch	0.37118626,0.50800526
zwoodbutcher	-0.002836222,0.7541793
sarahpalinlinks	0.35749835,0.73553735
simply_kii	1.2918073,0.42802033
nyminewucewe	0.80898404,0.650648
charlesinchains	0.00014361649,0.5172988
toneeeltigre	0.56828225,0.8923547
amandatooturnt	0.32922116,0.56254315
ggggggg700	0.48655847,0.894014
reporterkuren	0.9515102,0.78552395
nikkig5	0.866285,0.6279841
lilmissrightie	0.23073344,0.510347
kei0008	0.79453754,0.362489
awleeex	1.2752115,0.2332089
annettievazquez	0.012822961,1.1666437
acampadazgz	0.9997851,0.44725937
blackghettos	0.025684882,0.043545008
pissed_pat	0.31048805,0.8674683
christichat	0.52146286,0.6017803
hk_berikkkz	1.1462189,-1.8369813
lholloway2	0.56702405,0.57529676
moracarmo50	0.5513884,0.40002158
bravo9actual	0.3219822,0.5972205
_katarinag2	0.0516343,0.5283635
rashad24harris	0.3614287,0.47719714
angela2132	0.0073816376,0.5436098
thepixelated	0.54786545,0.7941914
colt745flockin1	0.90419114,0.57984364
siaptop	1.1978005,-1.8233131
king_drew16	0.54238033,0.8891989
1mauricewood	0.8124879,0.85479105
lslay19	1.2122035,1.561713
yaw_01	1.181289,1.6100974
yourpositivenrg	1.1612585,1.0945027
hazem1945	1.4689676,0.60938346
redpilltweets	0.3579099,0.33408105
captinmooregan	0.84896076,0.5920759
tommysteamer	0.059827235,0.08237639
fauxoriginal	1.3140974,0.74974227
russcomments	-0.0010700786,0.93335056
pax420	0.38264936,-0.24684633
breasiagreysonn	0.8985487,0.6020818
sadeqhuda	-0.06388217,0.7472176
kckitty	1.2695961,0.3707636
spiderbucket	0.5740922,0.8731258
neilproof110	0.63383317,0.26424527
braveheart_usa	0.4669238,0.5549667
epic_meh_	0.8661272,0.6521477
httpevill	1.1869359,-1.8570304
cerverafilms	0.36481798,0.28500557
nefihesykiky	0.8304872,0.61192554
tk_rocket	-0.05584555,1.0913262
tonycolianojr	0.032001726,0.5105468
ritatony01	-0.25680158,0.6753323
destinyoxo_	1.2917469,0.19727412
ain92ru	0.6349937,0.28905603
yeathatsmira	1.2755544,0.1612472
txdxe_affiliate	1.2011758,1.585726
lrobojew	0.121919535,0.8982453
sumersloan	0.4926885,0.5868882
whitwhitleyy	0.97486436,-0.24841699
blucandle	0.26322335,0.34962136
mikepfingston2	0.25405562,0.6264944
iahmedsalih	0.5897009,0.21918154
votenomalley	0.36442417,0.81616783
sparklytea98	-0.2476995,1.1048825
trapduk	1.1729412,-1.8932498
minutemen_usa	0.31038845,0.30490693
render64	0.10733808,0.89387447
darci51	0.85358626,0.7386753
rayh423	0.023382505,0.5958034
themorningspew	-0.02979693,0.6281458
scrillakev	0.31091416,0.27672562
pinkslayer07	0.41976666,1.0656264
yaboynapoleonn	1.0735264,-1.8646133
phillyd	0.64389783,1.0951095
evan_welch	1.0332044,0.65593266
sweetpea593	0.111855425,0.7179751
atgattrat	0.013108023,0.82340163
boldnewginger	0.23649459,0.9066986
keckah	0.17002282,1.0872275
nadimak	1.1645595,1.0692308
shaw_ayla	-0.5749637,0.7135587
sebastiano_na	0.2641585,0.31810978
newsweek	0.7092029,0.40805247
annews99	0.4834377,0.70839554
dexybailman	0.032331344,0.53001577
wmwallace1911	-0.1224238,0.742405
jtlol	0.012518825,0.6949324
jsharp_james	0.027492642,0.5549223
wanderlustyler	1.230698,0.19311501
rnrmontana	0.01768852,0.76966035
tyrellbrown97	0.5694336,0.85981196
dukehoss	0.35460863,0.61046267
thekasimkage	1.0092812,0.56029266
dawsondagoat	1.1493759,-1.9077992
bloodless_coup	-0.103024594,0.61713254
isaac_m_p_	0.6318853,0.22426677
populicolectivo	1.2859739,0.22519034
voiceoffr33dom	0.2618045,0.33461705
stargatedude	0.46898702,0.29301855
xanivela_	1.2496705,0.15861034
mba382	-0.2384456,0.5418451
judgetisdell	0.53201187,0.8012192
phalaenadispar	0.2647526,0.674194
carolegilman	-0.16868366,0.8935154
cisdim	1.0598829,-1.8153789
shelbyloowho_	0.3160295,0.15423238
thekidchill	1.0122869,-0.2708837
therthonjackon	0.61941844,0.598729
kellybluegrass	1.5812603,0.41636395
pears_eve	1.0229605,0.44378597
sadfvi	1.1392783,-1.8809109
hcalhoun53	0.517371,0.8780768
therevolutionla	1.0197651,0.3663084
thepassenger777	0.3385382,0.33662778
nich1250	0.12328281,0.58140814
marsh_madness16	0.5606765,0.8669793
writerofpoetry	0.9104861,0.5999077
hellblazeraiser	0.36278033,0.28295618
aleon_18	0.02749264,0.5549223
kobe_bynum	0.33632043,0.85817105
shermisdead	0.27987984,0.3058646
shells2014	1.3364724,0.3642851
xincog	0.318875,0.3810944
gmiller1952	0.1098044,0.53679985
wilson_micah	1.0213053,0.36563805
sohochic5	0.30292645,0.46802106
fulmetalamerica	0.0534479,0.4720333
jckweatherspoon	1.612568,0.9995396
smokeyjihad777	0.2751144,0.32904896
erotic_vibes	1.1810944,-1.7953683
brandnewspirit_	0.51737034,0.8780761
ta_reum	-0.25527707,0.15809204
dykeretard	0.45141637,0.21784358
sadbabyguri	1.0941552,-1.7915462
jamaica1962	0.2798798,0.3058646
photocompare	1.1978005,-1.8233131
refosyhetib	0.8381601,0.56577575
sahilcdesai	-0.11535647,0.67886704
jshroud18	1.1918683,1.6079639
lulufagt	1.2682621,-0.10558357
fox5vegas	0.044253387,0.15761638
beytell66	0.39586914,-0.2519572
oenonewept	-0.16005825,0.90278995
urokiamok	0.064159006,0.77874094
annaluv92	0.4056453,0.155546
stopdesahucios1	0.9975173,0.4348017
sabela13	1.291807,0.4280196
xosdlc	0.9787509,-0.2894549
dannyhaledanny1	0.39719403,0.7175139
salah___78	-0.23925342,0.13455954
myblueweirdness	1.4000432,-2.348662
pseudovrijheid	1.2705382,0.42008692
nii_sarpei	1.4693933,0.4324277
snowbooty	1.1357828,-1.89734
purelybasic	1.2422389,-2.071578
fuzzydeduction	0.034461252,0.64083904
youthfuipeace	1.1618245,-1.8606359
rudraksh_ace	0.6794705,1.1837517
lezat46lucienne	0.30012828,0.26909658
kandhsecurity	0.12454447,0.8481173
ladyg1228	0.49271768,0.8853109
samiromano_	-0.53356683,1.3518133
kelseyrupp	0.3738464,0.29491442
kaqywitypywy	0.8138932,0.6327169
freedomringz76	0.12192041,0.8982438
sincerleyalexa	-0.53059214,1.3207144
lafamboy	1.111511,-1.7936895
ryandwolfe	0.49271756,0.8853109
kenkonrad	0.09877032,0.5311764
kiss_tokill	1.2917111,0.21160704
lyonspride121	-0.20215608,0.60727257
backup4simcox	1.103389,-1.8993853
annuiied	1.17636,-1.8657244
vinit_mittal	0.37658033,-0.26497102
itele	-0.1925745,0.18134294
marksregard	0.8141947,0.6938258
tatianaras2	0.55189204,0.26017004
sarapijusesa	0.824899,0.62228215
lum1996	-0.0026646156,0.8981095
erulastiel14	1.1933559,0.5297387
hegijirelir	0.7870597,0.56860375
lauriemettier	0.09705175,0.62884563
incrdiblesailor	-0.25826812,0.1691832
marcushicks27	0.45109645,0.22422047
yoonikeezy_	0.8826453,0.5448359
manch1ild3d	1.1226195,0.56888795
ankejuliemartin	0.33738106,0.27529272
illlala	0.4065291,-0.2573699
malintenzionato	1.3056602,0.425371
sympathyyt	0.8845513,-0.43556124
emmaleeparkerj	-0.52887005,1.3494816
poetyca	0.81500125,0.6611365
wjsallee	0.22817557,0.3570489
deezuswalkss	1.1245408,1.0731628
ryanrminer	0.40564528,0.15554602
jd_2k13	0.25688818,0.9604413
ljfan6	0.23649356,0.9066958
istateyourname_	0.46427503,0.7111381
burcham_don	0.62966627,0.4928115
marymac41	0.015983088,0.5525372
ilymekia	1.1398276,1.118966
arianagrandemmm	1.1521585,-1.8917232
techwreck	0.4210884,0.7809016
frogsc25	1.2455943,1.6019212
coopdog1086	0.5682825,0.8923551
commanderxanon	1.1933559,0.5297387
peppababysistah	1.2720213,0.19752719
charbailey50	0.8842035,0.59981424
leecamp	1.5321176,0.2844731
zen_dohatei	-0.5749637,0.7135587
parkertolen	0.96058005,-0.2543541
prowliereturns	0.8971937,-0.4488026
kbr288	-0.17250128,0.882767
rustythimble54	-0.32345906,0.44690254
get_secured	0.04477179,0.48428527
jplillejohn	1.0213054,0.365638
triiltweets	1.194962,-1.8683143
arom4	0.9975173,0.4348017
jennhaj	-0.5395268,1.3120897
janeqcitizen16	-0.3131873,0.36121294
itskyladuhh	0.8661249,0.65215826
rusipumojav	0.79575074,0.6240201
ultimatepwr	0.6717143,1.1746417
oldlady12345	0.8029331,0.50259745
gonzo_pwohlvian	0.2809493,0.31768867
welsh7of7	0.86989915,0.60116804
faculaee	1.013477,0.35508135
randeesights	-0.52905965,1.349568
alpha456	0.0810277,0.50274163
chipsa_roy	0.88405657,0.6750407
wesleyray87	0.80000675,0.688151
socaledgygal	0.05280894,0.4583622
davidsshaw13	0.3340226,0.68008524
h_sharke	0.97486436,-0.24841699
theonlyabbs	-0.52513355,1.3605175
i_amtyler	0.8927851,-0.4711457
amiofonex08	1.4122849,0.010904828
jl_culwell	0.68678033,1.1735222
pearlspolkadots	0.30012828,0.26909658
pamjd219	0.39716431,0.7175127
953mnc	0.46706274,0.85811543
vampykiss	-0.529873,0.6730699
mrcissell	0.5556257,0.82585996
loveangel412	1.2941672,0.4021624
chrismsarracino	0.36550337,0.94067407
judithannde	-0.029009942,0.49426535
petiesposse	0.7840385,-0.07964766
corrcomm	0.13619286,0.86554176
litsarofalikos	0.007855797,0.21811761
acspollen	0.010929262,0.4917715
reflex76	0.79925126,-0.08330628
jstcallmesweet	1.6088678,1.0256778
cathyto47590555	0.33069637,0.43341085
theyycallmeq	0.9103425,0.589055
davante_r	0.18324114,0.8385654
kingsley_25	0.07115327,0.48997116
tori_wellington	0.5798941,0.84693587
365conservative	0.09764901,0.8097962
lany891	0.0034635633,0.592703
lautwtr12612	1.2680165,0.17455944
lulmurlan	0.7689643,0.39462614
lisaandrade	0.63917726,0.71520686
xcobbx	1.1321137,1.0847622
uofmpat	-0.34752852,0.7631953
cp24co	0.61871284,0.58677715
anitatikoo	0.90314007,0.567712
wyjedufapyb	0.8248991,0.6222825
zulminale	0.8866697,0.5803686
itskleinella	-0.2509843,0.11304077
comradearthur	0.24866314,0.46267727
kevin_is_klutch	-0.5120766,1.3187387
sophia___st	1.2807238,0.5077793
tarheelbrotha	1.0260288,0.37923366
thebromen	0.40215784,-0.27076834
2amevening	0.027875034,0.65417504
choover323	0.32821035,0.83604777
moetant36	1.0471538,0.4805628
aar123mcl	-0.53980076,1.3392916
attreadwell	0.004072273,1.1596332
crusifical	1.1493801,-1.9078054
_catiasofia33	1.0522367,-1.844486
christophyeates	0.86349183,0.68785435
grandmaj2	0.17371482,0.8220773
shellx3nj	0.6272255,0.6734311
quinny417	0.56828296,0.8923561
rhondapfeil	0.019992214,0.50371283
tay_griffin14	1.4049157,0.00057586835
nocosmominors	-0.32345906,0.4469026
vibecollectives	1.1281348,-1.9111787
the_5th_estate_	0.026030099,0.8818852
cristhianogando	0.49760538,0.23302774
milehilady52	0.064386904,0.7785257
fengaz	0.9787668,-0.28946316
lovendpeace	1.1499859,1.0961481
jo3pampinella	0.09400062,0.887782
whiskyhaze	-0.01835181,0.710422
bigplaygk	0.9881629,-0.2780999
conflict_report	0.65229285,0.32769254
mgorayo3313	0.30012828,0.26909658
___akv	1.2523303,0.22121213
cindybarnettusa	0.35749328,0.73553574
photogchris	0.08715396,1.2334754
michael_haz	0.31458792,1.0888836
rbrooks2819	0.08977815,0.6116792
ernestosuidry	-0.24903044,0.14562953
jjthejokester	1.119227,-1.9185225
rebelfever2	0.3666932,0.34730944
jeethee	0.7346835,0.36686948
kclarke022	0.48106265,0.8575405
rimkrimo	-0.25117597,0.11386154
addy2014ok	0.5806742,0.88506776
chasebot1	0.26424113,0.3049161
alostkid	1.3710479,-2.3657148
soopermexican	0.14530481,0.63710594
sarnino_118	0.47873306,0.8845659
rickoshea73	-0.030698242,0.6804957
mr_pirfect	0.56867963,0.21931525
aprilofthenorth	0.32529467,0.28403822
mariee_peace	0.96584755,0.070160225
thisorthatpic	1.1227729,-1.8445867
ogkushwarrior	0.29340985,0.30122563
jpu19	0.56868213,0.21930434
kashraeye	1.2632437,0.1524001
jerzboyusa	0.3241348,0.12917422
idesignwis	0.25511134,0.5620225
motorrader1	0.15632813,0.8012464
gamclain	1.1054384,1.1039627
ouchinagirl	0.36485538,0.723717
cindyditty	0.5891479,0.82115304
miguelv39510006	0.50180393,0.21678393
loriblaney	0.03732175,0.49752066
giovann15260668	-0.5131546,1.3641677
medzzzx	0.3656895,-0.25425377
syndicalisms	1.1908308,0.5456483
msminxalot	1.5979412,1.0313729
fycefebedil	0.8134618,0.5627372
rightandirish	0.30021083,0.8615453
seannormansmith	0.5475472,0.8618292
bobbyblaze744	0.49649426,0.56627214
mattgernold1	0.59877586,0.862795
maryland1776	-0.004720653,0.49600473
bakobakary	-0.26243055,0.13065346
supe50	0.11519693,0.7916869
mahoiku	0.8806231,-0.45312655
cbcalerts	0.67714804,0.8978719
joshuacol3	0.2763674,0.3443755
chastitybelt33	0.9254072,0.7719114
agentpatriarch7	0.30012828,0.26909658
kah_dae	1.115564,1.0812403
itsyourrace24	0.021795597,0.51771706
cheweypnewton	1.4049126,0.00057261146
campingpixi	0.5062291,0.83230484
flytink1	0.34193605,0.2863894
jamelbased	1.1836478,1.6236078
paul_moorhouse	0.050893575,0.54115397
2adefenders	0.060082678,0.7647779
jasmintoes	1.0400296,0.3977502
highonsociety_	1.0997614,1.0805976
quailman_	0.9904067,-0.25567943
wysini	0.16840412,0.68197036
wbalradio	0.3293983,0.43176857
globalrevlive	0.9116408,0.550809
dossjerry	0.538798,0.902882
duilness	1.3849864,-2.3558438
revoltingmsm	0.011464623,0.7571527
jadmiraal1	0.33177277,0.26288137
benwasilewski	1.2509294,0.204682
frlarousse2	0.080016725,0.55891347
whiteloveforall	1.2656738,-0.13293257
alanbfb	0.5361291,0.21064113
tv914	-0.13161449,0.62975234
msstl79	0.33936816,0.5870689
zachyork97	1.1897758,0.418693
danielleaderman	0.20904867,0.1549035
patriotic1s	-0.395374,0.46744326
secretkiska	0.20778665,0.90143275
mohammed_4n	0.7820885,0.51216555
newsobserver_	0.63188523,0.22426717
centermichele	0.31168756,0.3334649
gaypatriot	-0.028170632,0.7538889
skisolini	0.33552942,0.3694876
ktusing34	0.09410041,0.88770926
chillblueyes71	0.04477181,0.48428524
direnecessity	0.17468427,0.8073102
tanveerqasimpk	0.76854885,0.07307644
agnesclaire	0.09203482,0.62449473
thedouch3_	1.1304647,-1.7793471
minefield101	1.0213116,0.36563516
shadirahimi	1.2509295,0.20468241
_aydot	1.275541,0.16123304
cwcanadianright	0.11616601,0.6132635
anonymous_2o15	0.96376365,0.09189764
buzzatnight	0.86868536,0.5471574
ashewhi	0.123182565,0.86930794
keepopen	1.2520947,1.5903784
bamalaker	0.29919523,0.8471386
drgoddess	1.5381386,0.9838082
cp3ezy	0.36597162,0.31704158
freewillfighter	0.2980336,0.36429524
smithbeezy	0.8971937,-0.4488026
delcopreps	0.49902585,0.8977114
nashty20	0.36596757,0.31705654
swine1979	1.6106436,0.2636905
shotgunfloyd	0.6049578,0.8402904
laughathumanity	0.5499326,0.22117159
hensleywkao	-0.13610199,0.6610866
xocozyfozug	0.8249001,0.6448911
coadyowens	0.5312823,0.87890154
hockeysharolyn	0.44317272,0.20085387
diamondfootball	0.9515082,0.78552663
laurapcd1	0.9031401,0.5677122
bekkalina13	1.3666828,-0.2055623
csanders937	1.2141677,0.11886893
ajonymousppopp	0.22799084,0.35583034
idiotassfool	0.8842008,0.59980553
grants_thoughts	0.29340982,0.30122563
craiglevy_	0.8447022,0.4108055
mkmknani	0.008212062,0.74534976
jeanpennie	0.3375811,0.86193687
desicole13	0.8512694,0.6498997
juliesax	0.2200624,0.14685327
tsundererager	0.8163576,-0.39234084
factanonverba7	0.026430208,0.48961926
missmsqueen	0.026907034,0.46762154
chrises77o7	0.83898544,0.65719754
daisijayne	0.034500655,0.47695243
desertratloose	0.25045305,0.63735586
larosanicholas	0.430753,0.3882936
antiwhiteworld	0.33494198,0.2953646
monengong24	0.5348358,0.86476684
gary4205	0.15043035,0.7171519
tewabacuhur	0.8175602,0.5969278
hollyshere	0.1728164,0.846404
misskatt41	0.10504984,0.6450171
charleswilling7	0.08105536,0.6605701
sethroselife	0.2978868,0.37789887
justicewarior98	0.33177325,0.26288128
stantwols	0.83309,-0.2332182
bspdrogba	-0.27397323,0.12435012
pettilabelle_	0.8006631,0.39114645
aubzepp	0.90949166,0.61323595
drewbogs_fox28	0.5349023,0.80312085
_cchayes	0.11935416,0.41271728
drakereact	1.1051269,-1.7800025
usalemonparty	0.8616132,-0.24358158
msupjake	0.91000855,0.4404442
maskedrefugee	0.8365856,0.67082155
cnnsitroom	0.766008,0.4363415
babylon_cat	0.015498687,0.97999775
jimpook	0.30906454,0.8526017
waymothegod	0.96058005,-0.2543541
jamoneantonio	0.42012757,-0.26092348
cupcakestlh	0.017650511,0.5342098
drawandstrike	-0.038003016,0.7616472
gerifuller7	1.2413936,0.4495371
keeshapina	1.1869371,-1.8570259
naqvi1966	0.831569,0.37656024
stickypiddles	1.3140974,0.74974227
djvvsnwo	1.1259559,1.120992
kathycaissie	0.7156509,0.96868545
drgilliland	0.38084218,0.63804567
o_0kilo	1.076711,-1.9020419
radicallyxrad	0.3871624,0.32860288
paraujor	0.90109664,0.65003043
nonasnoreli	1.6065581,0.2519263
astoldbygaby	1.2845451,0.17308655
isopittsburgh	1.6125643,0.9995404
susiq76rocks	0.12856117,0.89092416
i_neverprosper	0.98616177,-0.23947132
kylemason365	0.6833773,0.65394515
bradycaseybrady	0.05016383,0.38634065
wi4palin	-0.11890735,0.7985007
fredwimpy	-0.12126993,0.6449619
derekviemann	0.52576613,0.3938949
t_rebora	1.4267201,0.4345266
pralific	1.1811142,-1.7953547
fairfaxnaacp	1.38355,0.62643266
abdelnabitolba	0.8029331,0.50259745
alexander91810	0.85060567,0.6647293
fanaticraven	0.0036386654,0.5298134
hastacbrn	0.59877586,0.862795
ladyglockusa	0.029582394,0.5269697
